x,y
855,539
875,596
901,500
902,453
910,420
900,406
894,405
893,390
894,366
892,317
882,302
872,297
855,291
849,283
849,264
841,242
836,228
828,245
837,259
847,260
863,298
889,318
923,341
957,346
974,328
1003,289
1012,254
1026,233
1028,174
1012,171
974,184
925,229
869,316
818,419
773,508
736,559
701,602
679,624
683,565
679,499
686,450
711,371
738,288
739,259
730,285
720,311
698,356
686,431
670,510
662,558
647,646
644,705
648,727
648,756
650,795
639,820
635,790
630,790
628,748
616,749
624,718
630,666
637,602
667,577
691,559
704,542
727,531
758,489
767,473
764,476
760,482
739,437
707,412
689,388
672,359
638,396
600,445
599,542
601,578
609,722
585,795
517,856
458,871
425,908
417,917
411,906
387,958
348,938
342,980
416,1027
495,1029
517,949
529,883
536,721
582,599
655,416
745,193
827,10
876,10
930,10
989,10
1004,10
1039,10
1002,10
1001,10
979,10
967,10
958,10
972,10
982,10
984,10
999,10
989,10
970,10
953,10
925,10
920,10
920,10
919,10
922,10
922,10
927,10
938,10
960,10
977,10
976,10
982,10
995,10
1011,10
1020,10
1034,10
1042,10
1028,10
1025,10
1011,10
991,10
981,10
957,10
944,10
930,10
919,10
904,10
901,10
894,10
876,10
878,10
893,10
909,10
926,10
945,10
975,10
1006,10
1034,10
1031,10
1016,32
1006,86
976,138
957,152
929,182
893,252
847,378
820,527
790,698
738,870
708,1010
668,1070
633,1070
607,1070
599,1070
603,1070
607,1070
625,1070
639,1067
676,966
709,896
736,864
753,849
760,846
770,844
770,847
776,839
771,851
754,863
739,862
725,872
718,886
717,871
723,857
727,858
736,847
742,848
749,840
742,852
741,846
739,858
737,847
724,871
713,876
701,885
697,886
695,891
696,889
702,890
714,891
724,884
736,885
740,897
748,884
744,892
742,898
740,894
730,905
726,891
719,895
717,888
710,883
706,892
708,890
709,882
713,881
706,882
692,893
684,891
690,878
687,867
697,857
702,851
705,849
716,844
725,840
738,835
736,844
746,844
752,842
745,843
743,837
735,851
734,857
734,837
733,842
731,856
732,856
732,856
733,860
736,864
741,856
745,864
744,868
746,869
745,881
747,887
752,880
751,887
749,882
754,877
753,877
760,870
763,870
773,849
777,852
781,833
787,822
785,818
788,794
788,777
789,744
778,740
767,726
753,713
749,720
752,713
739,718
725,736
711,751
701,754
695,754
706,753
707,753
698,762
700,754
714,757
726,739
734,751
751,741
745,750
740,751
742,734
738,742
736,762
742,758
740,769
744,776
750,771
760,759
761,777
765,779
769,762
773,761
769,771
782,764
791,767
801,773
819,749
830,739
839,732
846,731
856,727
866,705
866,695
875,672
877,680
879,697
886,704
887,721
899,720
898,743
903,748
906,751
891,775
887,761
883,755
877,742
875,726
877,700
879,694
876,683
894,661
897,666
892,658
873,658
861,665
851,677
847,685
827,697
806,701
782,709
772,709
782,729
786,740
787,735
788,719
812,688
833,640
862,571
905,440
949,307
1000,180
1035,69
1051,10
1068,10
1105,10
1140,10
1144,10
1147,10
1147,10
1154,10
1175,10
1200,10
1203,10
1202,10
1212,10
1236,10
1366,10
1539,10
1756,10
1910,10
1910,136
1910,282
1910,401
1910,478
1910,484
1910,521
1910,568
1720,554
1436,372
1213,254
1177,142
1203,91
1223,27
